geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Perry County, AR",county,05000US05105,9001,9097,9124,8397,8674
"Phillips County, AR",county,05000US05107,8726,8917,8275,8801,8580
"Pike County, AR",county,05000US05109,7989,8701,9282,9646,9206
"Poinsett County, AR",county,05000US05111,10203,10803,11463,11046,11151
"Polk County, AR",county,05000US05113,8936,9462,9614,9072,9651
"Pope County, AR",county,05000US05115,8893,8817,9074,9322,9194
"Prairie County, AR",county,05000US05117,11444,9847,10740,9482,9206
"Pulaski County, AR",county,05000US05119,9301,9387,9406,9070,9115
"Randolph County, AR",county,05000US05121,9317,9698,10154,9209,9471
"St. Francis County, AR",county,05000US05123,8910,8841,8952,9310,8774
"Saline County, AR",county,05000US05125,9356,9535,9560,9407,9509
"Scott County, AR",county,05000US05127,10166,9072,9852,9647,9665
"Searcy County, AR",county,05000US05129,7974,8038,8395,8250,8192
"Sebastian County, AR",county,05000US05131,9754,9552,9584,9725,10002
"Sevier County, AR",county,05000US05133,11463,12147,12426,12615,11603
"Sharp County, AR",county,05000US05135,9761,10134,10554,9716,10102
"Stone County, AR",county,05000US05137,10748,11399,10955,9894,10042
"Union County, AR",county,05000US05139,8490,9272,9249,9075,8659
"Van Buren County, AR",county,05000US05141,8322,8913,8994,9319,9030
"Washington County, AR",county,05000US05143,8764,8706,8909,8504,8647
"White County, AR",county,05000US05145,10269,10426,10739,10075,10129
"Woodruff County, AR",county,05000US05147,9403,9201,10099,9773,10397
"Yell County, AR",county,05000US05149,11476,11193,10945,10801,11090
"Alameda County, CA",county,05000US06001,8652,8694,8562,8560,8394
"Alpine County, CA",county,05000US06003,8027,5974,6979,6307,6200
"Amador County, CA",county,05000US06005,7037,7231,7583,7371,7637
"Butte County, CA",county,05000US06007,8673,8490,8710,8491,8553
"Calaveras County, CA",county,05000US06009,7224,7411,7795,7297,7288
"Colusa County, CA",county,05000US06011,7917,7230,7938,7429,7562
"Contra Costa County, CA",county,05000US06013,8826,8690,8742,8149,8288
"Del Norte County, CA",county,05000US06015,7483,7790,7559,7692,7867
"El Dorado County, CA",county,05000US06017,7961,7930,8039,7757,7922
"Fresno County, CA",county,05000US06019,8436,8480,8564,8607,8665
"Glenn County, CA",county,05000US06021,7502,7617,7722,7800,8369
"Humboldt County, CA",county,05000US06023,6908,7121,7286,7081,7028
"Imperial County, CA",county,05000US06025,8563,8633,8540,8646,8761
"Inyo County, CA",county,05000US06027,7178,7451,7696,7580,7365
